Artist,Title,Condition,Value,Currency,Source
Oscar Peterson,Oscar Peterson Plays The Cole Porter Song Book,,13.16,USD,lowest_listed
Ultravox,Vienna,,12.17,USD,lowest_listed
Soccer Mommy,Evergreen,,12.00,USD,lowest_listed
Ariana & The Rose,Constellations Phase 1,,12.00,USD,lowest_listed
Noel Gallagher's High Flying Birds,Magic Secrets 2024 / Magic Secrets #2,,11.00,USD,lowest_listed
Elvis Costello,My Aim Is True,,10.00,USD,lowest_listed
Jack White (2),Entering Heaven Alive,,10.00,USD,lowest_listed
Parlor Greens,Driptorch / 200 Dollar Blues,,9.99,USD,lowest_listed
The B-52's,The B-52's,,9.99,USD,lowest_listed
Genesis,Abacab,,9.99,USD,lowest_listed
Autolux,Live at Third Man Records,,9.95,USD,lowest_listed
"Luke Haines, Peter Buck",All The Kids Are Super Bummed Out,,8.99,USD,lowest_listed
Ghost (32),Seven Inches Of Satanic Panic,,8.75,USD,lowest_listed
Peter Gabriel,Peter Gabriel,,8.00,USD,lowest_listed
Elvis Costello,Hey Clockface,,7.99,USD,lowest_listed
Joe Jackson,Night And Day,,7.70,USD,lowest_listed
Duran Duran,Notorious,,7.59,USD,lowest_listed
The Beatles,Hey Jude (The Beatles Again),,6.98,USD,lowest_listed
Devo,New Traditionalists,,6.50,USD,lowest_listed
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,,6.50,USD,lowest_listed
"Sam Humans, The Heligoats",Live Free / Let Loose,,6.00,USD,lowest_listed
Peter Gabriel,Peter Gabriel,,5.57,USD,lowest_listed
Japan,Obscure Alternatives = 苦悩の旋律,,5.57,USD,lowest_listed
U2,"Live ""Under A Blood Red Sky""",,5.00,USD,lowest_listed
"The Edge, Michael Brook","Captive (Music From The Film ""Captive"")",,5.00,USD,lowest_listed
Scritti Politti,Cupid & Psyche 85,Good Plus (G+),5.00,USD,suggestion
Go-Go's,Beauty And The Beat,,4.99,USD,lowest_listed
Eef Barzelay,Lose Big,,4.99,USD,lowest_listed
The Decemberists,Florasongs,,4.95,USD,lowest_listed
Arthur Buck (2),Arthur Buck,,4.69,USD,lowest_listed
Tom Tom Club,Boom Boom Chi Boom Boom,,4.43,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 3 - Cli To Dor,,4.06,USD,lowest_listed
Les Paul & Mary Ford,Hits Of Les And Mary,,4.00,USD,lowest_listed
Depeche Mode,Speak & Spell,,3.99,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 8- Lew To Mor,,3.99,USD,lowest_listed
Bruce Springsteen,Darkness On The Edge Of Town,,3.95,USD,lowest_listed
Maria McKee,Maria McKee,,3.41,USD,lowest_listed
The Beach Boys,Surfin' Safari,,3.00,USD,lowest_listed
The Icicle Works,Icicle Works,,3.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 4 - Eck To Gar,,3.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 2 - Bei To Cla,,2.99,USD,lowest_listed
Various,Radio And Store Sampler,,2.99,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 6 - Hin To Joh,,2.37,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 12 Ven-Z,,2.28,USD,lowest_listed
Nina Hagen,Angstlos,,2.26,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 11- Sha To Ven,,2.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 10 - Ori To Rus,,2.00,USD,lowest_listed
Planet P Project,Planet P,,1.99,USD,lowest_listed
Chic,C'est Chic,,1.99,USD,lowest_listed
REO Speedwagon,Hi Infidelity,,1.75,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 7- Joh To Lew,,1.50,USD,lowest_listed
"Wynton Marsalis, Edita Gruberova, Raymond Leppard, English Chamber Orchestra, Johann Friedrich Fasch, Georg Friedrich Händel, Giuseppe Torelli, Henry Purcell, Johann Melchior Molter","Wynton Marsalis Plays Handel, Purcell, Torelli, Fasch, Molter",,1.50,USD,lowest_listed
Hamilton Bohannon,Rock Your Body,,1.50,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 1 A-Bec,,1.43,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 9 - Mot To Oli,,1.00,USD,lowest_listed

Total,,,3751.91,USD,
Coverage,148 of 154 valued
